TimePeriod,Power
20/01/2022 05.30 AM,0
20/01/2022 05.45 AM,0.04
20/01/2022 06.00 AM,0.21
20/01/2022 06.15 AM,0.38
20/01/2022 06.30 AM,0.79
20/01/2022 06.45 AM,1.56
20/01/2022 07.00 AM,2.2
20/01/2022 07.15 AM,2.92
20/01/2022 07.30 AM,3.67
20/01/2022 07.45 AM,4.45
20/01/2022 08.00 AM,5.2
20/01/2022 08.15 AM,5.78
20/01/2022 08.30 AM,6.31
20/01/2022 08.45 AM,6.25
20/01/2022 09.00 AM,6.38
20/01/2022 09.15 AM,6.41
20/01/2022 09.30 AM,3.57
20/01/2022 09.45 AM,0.92
20/01/2022 10.00 AM,0.64
20/01/2022 10.15 AM,0.58
20/01/2022 10.30 AM,0.53
20/01/2022 10.45 AM,0.47
20/01/2022 11.00 AM,0.51
20/01/2022 11.15 AM,0.54
20/01/2022 11.30 AM,0.52
20/01/2022 11.45 AM,0.52
20/01/2022 12.00 PM,0.53
20/01/2022 12.15 PM,0.55
20/01/2022 12.30 PM,0.57
20/01/2022 12.45 PM,0.61
20/01/2022 01.00 PM,0.63
20/01/2022 01.15 PM,0.62
20/01/2022 01.30 PM,0.62
20/01/2022 01.45 PM,0.6
20/01/2022 02.00 PM,0.61
20/01/2022 02.15 PM,0.56
20/01/2022 02.30 PM,0.53
20/01/2022 02.45 PM,0.48
20/01/2022 03.00 PM,0.44
20/01/2022 03.15 PM,0.43
20/01/2022 03.30 PM,0.42
20/01/2022 03.45 PM,0.42
20/01/2022 04.00 PM,0.42
20/01/2022 04.15 PM,0.43
20/01/2022 04.30 PM,0.43
20/01/2022 04.45 PM,0.43
20/01/2022 05.00 PM,0.44
20/01/2022 05.15 PM,0.45
20/01/2022 05.30 PM,0.41
20/01/2022 05.45 PM,0.41
20/01/2022 06.00 PM,0.28
20/01/2022 06.15 PM,0.08
20/01/2022 06.30 PM,0
20/01/2022 06.45 PM,'-
21/01/2022 05.15 AM,0
21/01/2022 05.30 AM,0
21/01/2022 05.45 AM,0.02
21/01/2022 06.00 AM,0.21
21/01/2022 06.15 AM,0.46
21/01/2022 06.30 AM,0.83
21/01/2022 06.45 AM,1.28
21/01/2022 07.00 AM,2.02
21/01/2022 07.15 AM,2.44
21/01/2022 07.30 AM,3.15
21/01/2022 07.45 AM,4
