TimePeriod,Direct consumption [W],Discharge battery [W],Charge battery [W],BatteryStateOfCharge,TotalConsumption,TotalGeneration
20/01/2022 12.15 AM,0,776.44,0,59,776.44,0
20/01/2022 12.30 AM,0,767.36,0,58,767.36,0
20/01/2022 12.45 AM,0,756.05,0,57,756.05,0
20/01/2022 01.00 AM,0,747.03,0,56,747.03,0
20/01/2022 01.15 AM,0,730.22,0,55,730.22,0
20/01/2022 01.30 AM,0,719.31,0,54,719.31,0
20/01/2022 01.45 AM,0,702.06,0,53,702.06,0
20/01/2022 02.00 AM,0,700,0,52,700,0
20/01/2022 02.15 AM,0,680.59,0,51,680.59,0
20/01/2022 02.30 AM,0,659.06,0,50,659.06,0
20/01/2022 02.45 AM,0,661.42,0,49,661.42,0
20/01/2022 03.00 AM,0,649.31,0,48,649.31,0
20/01/2022 03.15 AM,0,647.63,0,48,647.63,0
20/01/2022 03.30 AM,0,667.88,0,47,667.88,0
20/01/2022 03.45 AM,0,670.03,0,46,670.03,0
20/01/2022 04.00 AM,0,666.57,0,45,666.57,0
20/01/2022 04.15 AM,0,664.59,0,44,664.59,0
20/01/2022 04.30 AM,0,633.54,0,43,633.54,0
20/01/2022 04.45 AM,0,626.81,0,42,626.81,0
20/01/2022 05.00 AM,0,629.25,0,41,629.25,0
20/01/2022 05.15 AM,0,625.93,0,40,625.93,0
20/01/2022 05.30 AM,0,545.14,0,40,545.14,0
20/01/2022 05.45 AM,40.1,399.99,0,39,440.09,40.1
20/01/2022 06.00 AM,206.58,124.7,0,39,331.28,206.58
20/01/2022 06.15 AM,328.88,14.54,50.54,35,343.42,379.42
20/01/2022 06.30 AM,293.24,0,495.69,34,293.24,788.93
20/01/2022 06.45 AM,280.56,0,"1,277.53",35,280.56,"1,558.09"
20/01/2022 07.00 AM,264.63,0,"1,935.56",37,264.63,"2,200.19"
20/01/2022 07.15 AM,328.74,0,"2,592.60",40,328.74,"2,921.34"
20/01/2022 07.30 AM,295.48,0,"3,373.94",43,295.48,"3,669.42"
20/01/2022 07.45 AM,388.38,0,"4,065.79",48,388.38,"4,454.17"
20/01/2022 08.00 AM,470.04,0,"4,726.18",53,470.04,"5,196.22"
20/01/2022 08.15 AM,459.51,0,"5,315.72",58,459.51,"5,775.23"
20/01/2022 08.30 AM,416.56,0,"5,891.24",64,416.56,"6,307.80"
20/01/2022 08.45 AM,402.52,0,"5,847.01",71,402.52,"6,249.53"
20/01/2022 09.00 AM,409.82,0,"5,965.70",77,409.82,"6,375.52"
20/01/2022 09.15 AM,405.36,0,"6,000.19",83,405.36,"6,405.55"
20/01/2022 09.30 AM,367.23,0,"3,202.13",90,367.23,"3,569.36"
20/01/2022 09.45 AM,356.26,0,560.73,96,356.26,916.99
20/01/2022 10.00 AM,363.53,0,277.47,96,363.53,640.99
20/01/2022 10.15 AM,408.59,0,167.12,97,408.59,575.71
20/01/2022 10.30 AM,396.54,0,130.28,97,396.54,526.82
20/01/2022 10.45 AM,396.19,0,77.64,96,396.19,473.83
20/01/2022 11.00 AM,471.53,1.41,33.68,95,472.94,505.21
20/01/2022 11.15 AM,539.38,15.01,1.59,95,554.39,540.98
20/01/2022 11.30 AM,517.5,12,1.91,95,529.5,519.41
20/01/2022 11.45 AM,517.69,12.26,1.85,95,529.95,519.54
20/01/2022 12.00 PM,530.29,10.77,1.13,94,541.06,531.42
20/01/2022 12.15 PM,545.52,12.06,0.15,94,557.58,545.67
20/01/2022 12.30 PM,563.68,10.31,7.47,94,573.98,571.14
20/01/2022 12.45 PM,567.62,0,47.25,94,567.62,614.87
20/01/2022 01.00 PM,577.15,0,55.25,94,577.15,632.4
20/01/2022 01.15 PM,561.45,0,62.51,94,561.45,623.96
20/01/2022 01.30 PM,541.43,0,80.66,94,541.43,622.09
20/01/2022 01.45 PM,492.94,0,108.47,94,492.94,601.42
20/01/2022 02.00 PM,499.83,0,106.64,94,499.83,606.48
20/01/2022 02.15 PM,426.44,0,130.29,94,426.44,556.73
20/01/2022 02.30 PM,411.44,0,117.67,94,411.44,529.12
20/01/2022 02.45 PM,398.91,0,80.16,94,398.91,479.06
20/01/2022 03.00 PM,371.06,0.12,65.15,94,371.18,436.21
20/01/2022 03.15 PM,396.96,7.42,29.23,94,404.37,426.18
20/01/2022 03.30 PM,380.08,3.67,36.55,94,383.74,416.63
20/01/2022 03.45 PM,399.09,9.94,20.55,94,409.03,419.64
20/01/2022 04.00 PM,397.21,8.52,24.47,94,405.73,421.68
20/01/2022 04.15 PM,372.71,1.91,53.69,94,374.62,426.41
20/01/2022 04.30 PM,364.4,0,64.96,94,364.4,429.36
20/01/2022 04.45 PM,358.82,0.22,73.54,94,359.03,432.36
20/01/2022 05.00 PM,354.33,0,86.15,94,354.33,440.48
20/01/2022 05.15 PM,369.27,0,83.63,94,369.27,452.89
20/01/2022 05.30 PM,352.12,2.42,53.22,94,354.53,405.33
20/01/2022 05.45 PM,397.58,9.65,16.48,94,407.23,414.06
20/01/2022 06.00 PM,278.01,152.02,0,94,430.03,278.01
20/01/2022 06.15 PM,80.34,501.49,0,94,581.83,80.34
20/01/2022 06.30 PM,0,"1,311.05",0,92,"1,311.05",0
20/01/2022 06.45 PM,0,"1,324.54",0,91,"1,324.54",0
20/01/2022 07.00 PM,0,"1,435.63",0,89,"1,435.63",0
20/01/2022 07.15 PM,0,"1,606.57",0,87,"1,606.57",0
20/01/2022 07.30 PM,0,"1,622.31",0,85,"1,622.31",0
20/01/2022 07.45 PM,0,"1,673.58",0,83,"1,673.58",0
20/01/2022 08.00 PM,0,"1,650.86",0,81,"1,650.86",0
20/01/2022 08.15 PM,0,"1,759.86",0,79,"1,759.86",0
20/01/2022 08.30 PM,0,"1,658.45",0,77,"1,658.45",0
20/01/2022 08.45 PM,0,"1,657.35",0,74,"1,657.35",0
20/01/2022 09.00 PM,0,"1,722.48",0,72,"1,722.48",0
20/01/2022 09.15 PM,0,"1,543.32",0,70,"1,543.32",0
20/01/2022 09.30 PM,0,"1,424.43",0,68,"1,424.43",0
20/01/2022 09.45 PM,0,"1,208.51",0,67,"1,208.51",0
20/01/2022 10.00 PM,0,"1,177.49",0,65,"1,177.49",0
20/01/2022 10.15 PM,0,"1,181.67",0,64,"1,181.67",0
20/01/2022 10.30 PM,0,"1,178.73",0,62,"1,178.73",0
20/01/2022 10.45 PM,0,"1,111.62",0,61,"1,111.62",0
20/01/2022 11.00 PM,0,"1,046.83",0,59,"1,046.83",0
20/01/2022 11.15 PM,0,933.77,0,58,933.77,0
20/01/2022 11.30 PM,0,867.76,0,57,867.76,0
20/01/2022 11.45 PM,0,891.12,0,55,891.12,0
21/01/2022 12.00 AM,0,865.89,0,54,865.89,0
21/01/2022 12.15 AM,0,843.36,0,53,843.36,0
21/01/2022 12.30 AM,0,806.32,0,52,806.32,0
21/01/2022 12.45 AM,0,795.03,0,51,795.03,0
21/01/2022 01.00 AM,0,834.09,0,50,834.09,0
21/01/2022 01.15 AM,0,852.3,0,49,852.3,0
21/01/2022 01.30 AM,0,864.13,0,47,864.13,0
21/01/2022 01.45 AM,0,822.77,0,46,822.77,0
21/01/2022 02.00 AM,0,741.68,0,45,741.68,0
21/01/2022 02.15 AM,0,817.68,0,44,817.68,0
21/01/2022 02.30 AM,0,806.57,0,43,806.57,0
21/01/2022 02.45 AM,0,756.82,0,42,756.82,0
21/01/2022 03.00 AM,0,695.77,0,41,695.77,0
21/01/2022 03.15 AM,0,774.14,0,40,774.14,0
21/01/2022 03.30 AM,0,772.04,0,39,772.04,0
21/01/2022 03.45 AM,0,701.61,0,38,701.61,0
21/01/2022 04.00 AM,0,721.53,0,37,721.53,0
21/01/2022 04.15 AM,0,761.41,0,36,761.41,0
21/01/2022 04.30 AM,0,691.53,0,35,691.53,0
21/01/2022 04.45 AM,0,718.78,0,34,718.78,0
21/01/2022 05.00 AM,0,764.12,0,33,764.12,0
21/01/2022 05.15 AM,0,649.64,0,32,649.64,0
21/01/2022 05.30 AM,0,628.56,0,31,628.56,0
21/01/2022 05.45 AM,22.44,431.31,0,30,453.75,22.44
21/01/2022 06.00 AM,213.52,236.58,1.16,30,450.1,214.68
21/01/2022 06.15 AM,354.11,9.46,106.08,24,363.57,460.18
21/01/2022 06.30 AM,359.81,0,473.97,24,359.81,833.78
21/01/2022 06.45 AM,411.89,0,870.99,25,411.89,"1,282.88"
21/01/2022 07.00 AM,311.88,0,"1,709.82",27,311.88,"2,021.70"
21/01/2022 07.15 AM,463.57,0,"1,979.00",29,463.57,"2,442.57"
21/01/2022 07.30 AM,583.26,0,"2,563.28",32,583.26,"3,146.54"
21/01/2022 07.45 AM,635.34,0,"3,360.53",36,635.34,"3,995.88"
21/01/2022 08.00 AM,612.59,0,"4,293.71",40,612.59,"4,906.31"
21/01/2022 08.15 AM,686.81,0,"4,441.36",45,686.81,"5,128.17"
21/01/2022 08.30 AM,710.43,0,"5,554.58",51,710.43,"6,265.01"
21/01/2022 08.45 AM,719.18,0,"6,000.26",57,719.18,"6,719.44"
21/01/2022 09.00 AM,718.4,0,"5,998.41",64,718.4,"6,716.81"
21/01/2022 09.15 AM,702.31,0,"6,003.27",70,702.31,"6,705.57"
21/01/2022 09.30 AM,702.66,0,"5,783.84",76,702.66,"6,486.51"
21/01/2022 09.45 AM,699.78,0,"5,998.68",82,699.78,"6,698.47"
